id	label
UMidlzROhC0_000082	electric blender running
5j-4OJ7XpDM_000222	bird singing
Wqv0fvaXGM4_000052	squishing water
XZPPLt35KxU_000000	people giggling
Wj5qDj8_nSw_000025	people cheering
XBGpHaWOSH4_000301	popping popcorn
JS68nchziLA_000029	playing congas
E7m7feGvswI_000620	eating noodles
LvE-KeIoTC4_000085	tractor digging
NIUD5tnT_NQ_000308	eating noodles
IUgHJv3LBns_000089	people eating crisps
nqnviB5WXSM_000030	dog whimpering
Jte0G7PeVEM_000160	people booing
st6A74RGLmY_000037	air horn
oZoJ26C6LrU_000100	police car siren
WVS46ZGovGw_000030	crow cawing
oJe-kIzMuiU_000041	playing mandolin
lVye-L3oq6A_000030	people finger snapping
5g20l907PQM_000028	playing djembe
A9LkQyImgNI_000030	playing cello
0q5kQGcOn2I_000083	francolin calling
m0GjXTf9Ls4_000171	playing bassoon
wOzgCyoi9l8_000074	gibbon howling
DcU6AzN7imA_000210	reversing beeps
4cgDBRTdmq0_000221	air horn
MEUcv-QM0cQ_000030	fire truck siren
LI46aCaqKQg_000108	playing congas
kq6PDicCx9Q_000084	playing timbales
cwq3iq632ys_000030	choir singing
sxP8Z_FiKw8_000030	car engine knocking
Zpy_FG4-CcU_000065	disc scratching
EiOtCVfF83c_000001	blowtorch igniting
UR-2P-NHz1w_000240	cattle mooing
7Gua0-UrKIw_000030	reversing beeps
VMbJTgzMhKE_000030	water burbling
GGpS5Zychoc_000053	lathe spinning
Ta3F2prvIZY_000091	slot machine
KzdmGVwiPN0_000019	chickadee calling
dlFXGfbcYvg_000027	wood thrush calling
AwFuGITwrms_000030	fire truck siren
ZIgZ_OKQyF0_000215	donkey braying
jpEcGnA4tco_000322	barn swallow calling
wyhurCZbKQU_000030	motorcycle revving
BqY5blRv2Lw_000090	playing theremin
1Qvce8w_Vds_000011	people nose blowing
UuBSbvH6ql8_000029	wood thrush calling
AIDJFkDURPY_000030	lawn mowing
mxQ37FEFLKY_000030	people whispering
6wg3GJZk7Q0_000001	cat caterwauling
HPfBYRU8tVM_000030	woman speaking
9Ci8qOMBNNU_000070	baby laughing
iXNnJE6gNEk_000020	baby laughter
BNxowL6utbQ_000030	playing harp
yVZe2RGcZIE_000013	driving snowmobile
sIvDDObKvoI_000130	splashing water
0m9-5BkL4Mc_000030	child singing
9FnCP6GoFOs_000000	police car siren
B9wRwZkoFvY_000038	telephone bell ringing
I-bNKpYykUY_001034	lip smacking
n7-lKjrJFA0_000088	telephone ringing
G8VETC-kEio_000049	bathroom ventilation fan running
QEE70zlVRoM_000019	people sneezing
kdbA6lP1bmU_000037	missile launch
bkCqeOhqCFU_000000	pheasant crowing
pGC5c8KiuOk_000020	person hiccuping
QBMDnMRwQCc_000070	helicopter flying
M5xJm4N_8pg_000014	playing steel guitar
AlPu_yxLT2g_000230	people coughing
EQKs1YLMUuI_000004	playing oboe
qazCqvKglIs_000203	airplane
BAekfGvUtFM_000030	engine accelerating
Ax1rIOmzMWY_000000	housefly buzzing
e_ySE_yqUyg_000130	electric shaver
cN5WLE0XTsE_000185	playing timbales
3sQrJVyxju0_000065	playing mandolin
I1fcUe9MoMw_000120	playing ukulele
jKjj66pRXZA_000020	playing didgeridoo
B6V6cA5p08M_000083	people belly laughing
6Upef-zCzLM_000014	snake rattling
l1coM570kVw_000030	male singing
hoOwwU30m0I_000067	alarm clock ringing
IdqTtYcY8L4_000140	splashing water
86roBf8WIso_000020	playing oboe
oSME-ts1WnQ_000110	dog growling
0F04c_rY4aw_000000	dog howling
S6R2DpF6zzM_000018	bird calling
ok-srXYE5tg_000004	wind chime
v6A7Iggebm4_000180	female singing
kQQrsmLvoCE_000120	dog howling
wGms6MZt-vU_000040	people finger snapping
8JgqLELdUkY_000030	cat meowing
xdcjFp3L0FE_000003	baltimore oriole calling
Grnk9p9P7Qk_000017	toilet flushing
4L9KyVVsQOc_000030	tapping guitar
ULZ6auGvLAw_000311	sharpening knife
nfitcQXx-Y0_000020	gibbon howling
gLPkzyEy--c_000876	eating apple
bnjo2Bx3_RE_000071	people humming
hidrmMfy49s_000014	playing trumpet
ThVGE9TjEjM_000136	magpie calling
WJV6Ey6hXEw_000005	dog growling
D-p9s8y2z_U_000000	playing acoustic guitar
lAF6nVFk6Is_000077	dog growling
9iVLuQ403ww_000039	slot machine
UFyOGqmITjM_000000	playing violin
8F8HvVMwXyw_000090	baby crying
hAukn8dWZ2M_000030	people sniggering
3twm2ErD0kM_000154	playing cornet
GVj556hlo5A_000045	playing erhu
2es7oZzwLWM_000030	playing zither
O9M7RtFP_-Y_000010	playing glockenspiel
kh77cZfsDvc_000089	bull bellowing
sg_uyXvNPAw_000047	canary calling
1gWu-9hPzFs_000022	cheetah chirping
J_ZRXchuwNA_000030	horse clip-clop
Uvn7waPvseo_000030	playing drum machine
q3Q0g4kRlmU_000002	bull bellowing
mEL68q2FRBo_000100	child singing
HLsRePLObfI_000030	playing steelpan
MgD5JedaXGs_000020	dog barking
7SR2Nk3gkQ4_000187	cuckoo bird calling
UztuiHbZvCw_000991	lip smacking
7-z44NWB-84_000170	gibbon howling
k0Z95PrMVOI_000064	mynah bird singing
_yH2zKXrXWg_000000	playing shofar
zxd98l89Prk_000036	tiger roaring
hkWcUtga1lw_000400	playing piano
2INpPpv4NRg_000560	using sewing machines
ME7oIRHOPlE_000040	bathroom ventilation fan running
1kiR-BU9Fik_000071	lip smacking
XA9I4QiBuWQ_000082	playing double bass
MI6AgoqRlZg_000069	chicken crowing
R2LpN5yc8DA_000271	blowtorch igniting
NsbLeONN0-c_000188	playing violin
AA0Ekw6dlQo_000046	playing oboe
NpGTa9fRvUU_000030	lawn mowing
D4Jb8jIl-2A_000378	lip smacking
B7Iab-AC3Dw_000110	playing bass drum
VPM383zJz68_000030	railroad car
WAUn8kFhvZw_000000	owl hooting
vS5cYNOFeBs_000012	chicken clucking
kYvyOw8ZDS4_000016	bull bellowing
5C58IGwUCFY_000030	female singing
pVf84f6xrBw_000070	playing steel guitar
3JYjNHFJfO4_000363	baby laughter
QqyUVqi3fOg_000095	train wheels squealing
HU7oqkJeItQ_000000	playing ukulele
i3HsITnarf4_000030	chainsawing trees
UFSp546472I_000010	woman hiccuping
vuGwgfWdi5Q_000000	gibbon howling
Ih0xy7tt2JY_000030	helicopter
RrZHOh77F3Q_000042	child singing
jtfG2FbwINE_000121	people giggling
kGo-dAQXtsA_000025	tapping guitar
Ar5_nY1UZ80_000030	singing choir
Bho0lwcxn1g_000020	child babbling
sFhwuCH4-J8_000200	tap dancing
cRT5SWbyA54_000004	tiger roaring
hjRCaD9JmJY_000511	playing cornet
YWabd_3AEfo_000049	gibbon howling
AO4Rp4DQXCw_000358	alarm clock ringing
JkqXWP4nddE_000012	snake hissing
aOOqSWgmRJM_000033	playing violin
cY6KAjqmoaY_000030	turkey gobbling
0LwSy-xZSPw_000112	male singing
PwC9_vE_rqk_000120	dog growling
WZLxZKna7xY_000276	hedge trimmer running
bBfi3iEu9fk_000160	playing theremin
J2nDnAerah0_000030	helicopter
9uTzThSwQ80_000580	railroad car
FvmWB20IUaM_000184	person hiccuping
c8lfu6yJ0K4_000003	car passing by
2W4dw8XuetE_000050	rowing
ad6gQQ_0evk_000030	playing banjo
9xV0nmojVeg_000030	playing acoustic guitar
wy5edFMFcyM_000370	splashing water
3Pfu7BPWvL8_000036	children shouting
4tOFGK47I5E_000005	cow lowing
5lyszxMsT20_000110	playing harp
oPzAaB7LoqU_000030	baby crying
AKxHQn994OI_000140	skateboarding
SJ9TY-iqD9Q_000010	child singing
x_5t0os3A2I_000025	playing bongo
A_0xhMEZ1Cg_000030	playing french horn
EBEXWRdUZB8_000024	playing double bass
pv6hda1OnnI_000037	elk bugling
1n6JyJt4kJ4_000018	train horn
Bq10zG74Wc0_000040	playing drum kit
Bo3Mvu8I81g_000458	playing bassoon
mcrf1Mb99d4_000068	playing tympani
qPsoKSYzuyo_000010	splashing water
0q6GOUn_dhU_000066	playing castanets
TXW3Qm9qT0c_000030	people shuffling
Ts04bBeY1d4_000030	playing acoustic guitar
K-PitCewkDg_000068	cheetah purring
yGBSo4TDeTg_000029	turkey gobbling
AScmP_vDPhs_000001	cuckoo bird calling
GBLKj2d0iC4_000030	playing theremin
ficqj4JyX4c_000098	electric blender running
CAbXVOWLYps_000030	dog howling
_pa-9nYl1QE_000037	canary calling
hzSgd10rtQ0_000120	opening drawer
DDoJMpe85o0_000386	mynah bird singing
npcdmOfFZis_000050	playing harmonica
WLPj0LIokkM_000020	chainsawing trees
fiAJqNva0oA_000030	playing clarinet
K7CQ6G0ILFQ_000061	ice cream truck
f1mXMVWFLiA_000183	woman eating apple
pc-FTQNfxx0_000266	disc scratching
8FZM56axVms_000081	elk bugling
EJwOhdjhxXY_000012	francolin calling
OrZNGml0csQ_000022	car engine starting
AOwwp601QZw_000130	lawn mowing
BNrmXcZQ-p4_000030	helicopter flying
CLtTzEgjeJk_000066	playing bugle
pjuHVmcoVFc_000036	playing oboe
U6_Ui8bpY9g_000042	people eating
P02Zdk3amjk_000030	baby crying
k8YMZkfLIvE_000319	playing tambourine
jH6-RU2or84_000040	toilet flushing
1F9zCsJyw6k_000230	police car siren
Uv3K_pEUlX8_000020	helicopter engine
8Aq06SXi6G8_000010	coyote howling
FD1LeLl1xBA_000060	beat boxing
3RfrTU1p5SA_000500	people chanting
em7akjDUsWk_000030	playing acoustic guitar
SyWbd9bOCps_000096	donkey braying
qu3cJGVvvWs_000110	playing timbales
pljrosvt-o8_000017	cat meowing
Yd10enP9ykM_000030	tires screeching
EhvCJi5Zbsw_000088	playing congas
x_CFMV_BSPE_000212	race car
CWA2pRIDHuI_000000	snake rattling
hC7sSMWLwDo_000016	baby crying
BjYsesK0GQw_000030	baby babbling
HrEUzoS9ErQ_000000	people hiccup
0hjqlmdPT6g_000050	tractor engine
GeUJHkgzFSE_000012	parrot talking
EqfXm8FwFe0_000009	kayak rowing
HhJNtJYbWkk_000032	fireworks banging
DSGMDArb1QI_000030	speedboat acceleration
JCapiyzc_AA_000030	playing harmonica
HAEoz3VbaP8_000000	playing ukulele
yzG0xXcCRJA_000055	cow lowing
476vNb6thyM_000030	playing acoustic guitar
T7fsXVDXFQo_000300	playing erhu
A9JSptUG5HU_000020	black capped chickadee calling
_peXjzFQ2_c_000030	playing trumpet
Nuyu78uZcVE_000058	playing djembe
OGnBrabqdP4_000040	orchestra playing
B7iRvj8y9aU_000030	playing steel guitar
uCWzv5Ss-B0_000030	playing harpsichord
UKgZCUgOSfo_000062	warbler chirping
AcHARmL5j-g_000004	chinchilla barking
8aZFjhn4U-A_000021	people battle cry
RpGRpTpEHTs_000109	disc scratching
Q3aNijPpxGU_000033	chinchilla chewing
e5Wu9El1mI4_000156	fireworks banging
1_yyvTRVoZQ_000209	alligator hissing
97plxBxUju4_000010	playing clarinet
sAMjMyCdGOc_000030	driving motorcycle
5iTVbHhYhC4_000030	crow cawing
ZUp2sBZvw5Q_000082	train wheels squealing
pnRvEfIkgSA_000013	parrot talking
4DKN1qAMQig_000021	lathe spinning
xcYIvw3nMLE_000000	tractor digging
2U5f3uTl7qg_000167	playing tambourine
k3AYfr6PIgs_000019	dog barking
j50SGKJ0MQI_000160	hedge trimmer running
6LhWo-WzgLU_000034	slot machine
acepdtp7F7Y_000348	eating apple
9XHRHFTY0iU_000409	people cheering
H5rRqioLDxY_000030	baby laughter
y8Yv4pnO7qc_000030	playing trombone
aPRH3YE7Lpo_000253	housefly buzzing
ZnzUnrS1MEs_000023	barn swallow calling
7gr6ZOKZwuQ_000010	driving buses
oSUCIMc3Vp8_000055	baby laughing
Usz7ZnOHaxY_000030	pigeon cooing
D1VQAb8CfWM_000022	cat hissing
KHVZFbmt8xk_000030	woman speaking
0Rqa18lmDtw_000153	driving motorcycle
puWLQ77Iq74_000064	tractor digging
Bg7_qkxGkAA_000020	woodpecker pecking
C3yqIuEs_zQ_000430	ocean burbling
ljUu7ZnlKZA_000031	pigeon cooing
cur9zG87bAQ_000004	baby laughing
gZ4u6eUJxV4_000371	electric shaver
A0dHhG6Y8C0_000030	electric razor shaving
4WRgvRI06zc_000030	engine accelerating
DKH0HIZP284_000070	playing cymbal
jEU8MG1w6oo_000080	playing drum kit
GSAMEMX_oAg_000200	playing ukulele
NGvamh45l6k_000022	otter growling
vw_q2SV_YOY_000130	turkey gobbling
rREf2jL0jQs_000010	playing snare drum
rhT8kzRAEEM_000117	playing washboard
40s88hEcn5I_000170	engine accelerating
zM-nWQl3W6Y_000170	cowbell
koUnrPY_3n8_000007	cricket chirping
gCHF0oBPZv8_000030	dog howling
AGDQXlgdzhA_000285	sheep bleating
98DR68euGmo_000079	francolin calling
KacYEZwBTY4_000050	playing timbales
nmp9yqhsjqg_000350	playing piano
5-FHy1Q61n8_000114	dog baying
dm5DJNfGJTs_000032	playing djembe
s-5NrplJjlg_000383	auto racing
8q8JrJNAa-Q_000030	engine accelerating
Sx3WV9GSOmc_000060	playing cello
tI5h94hKdVs_000005	tractor digging
XIohMvtR0Og_000030	people shuffling
4tKvAMmAUMM_000030	reversing beeps
IL3ThGKdOMk_000221	tractor digging
D7iyQCgox0g_000017	chipmunk chirping
kiAMVnSBGw0_000030	man speaking
3DTZsjKMOyA_000289	playing steel guitar
zAgJRZWBQI8_000050	child singing
sdJgpGJBQcI_000560	cow mooing
1SJFTbu1abo_000042	canary calling
_xXjtC5N1-Q_000030	kayak rowing
__d25T3IAOg_000325	race car
bM5Ha8d-DoM_000009	coyote howling
2Pl5B1Tpn1U_000024	electric grinder grinding
g3JUdaGVCLk_000030	goat bleating
mSlE2F9N-8g_000030	singing bowl
8evHpuXTcgM_000030	typing on typewriter
RoS465ZH1lg_000013	cat hissing
b6x51a8ipG0_000469	children shouting
QTT0Cc70d5k_000048	playing harpsichord
BsnjK6DypAg_000030	playing didgeridoo
TB3VhNczX88_000010	people coughing
eu_Ehoag0Vg_000244	people booing
2ZogsGp-T4o_000040	playing mandolin
qWLvv_rrSH4_000030	playing harmonica
ULLEA-jLmpI_000030	people finger snapping
xcpTytjZNoQ_000135	train whistling
1TAOyk0Xgss_000370	vacuum cleaner
WhD232bSL3w_000104	people cheering
SLQAve85lDU_000188	disc scratching
a8cRcNvRJgg_000064	people blowing nose
LBxiUTpsRxQ_000020	canary calling
BBfh0v1KH2Y_000030	playing harp
Q6rij_svhuc_000030	typing on computer keyboard
DmTSz-8AGRg_000003	pheasant crowing
yzvEwiMw7Hk_000135	playing erhu
N4JQ0uzRjpA_000274	playing erhu
FZiKkwC6bIE_000000	lathe spinning
QzMsoz4XIkM_000030	playing didgeridoo
CQGQV-JxPoI_000030	cat meowing
KVuoi20iigU_000280	fireworks
K3ByFtd0ugA_000148	playing oboe
3FNTvu5iROw_000076	wood thrush calling
qbRZ67ynqp0_000050	people belly laughing
WFjx0sH7mlc_000020	bird squawking
ge191yHHQio_000030	playing harpsichord
GXLeUXSVFYU_000030	playing banjo
1p5jl5JeZx8_000117	people cheering
EUXUKCqUKyo_000005	playing shofar
T6cqaSkv9MQ_000084	baltimore oriole calling
dBl76lmp-d0_000035	dog growling
076qdKSC8nU_000030	tapping guitar
fbdz2U-fJsk_000110	owl hooting
XGCQHUilvfQ_000030	people whispering
oswEaAsFXDM_000170	car engine starting
0QabiRBcEKc_000050	man speaking
v7Jaa5ztvgs_000011	snake hissing
kVuG_F3qCuY_000176	playing steel guitar
qX0k93co9R0_000082	canary calling
8bakI0ITCqQ_000030	playing theremin
MUC3GjvBI7I_000030	horse clip-clop
p6EUe5qs7aw_000668	playing congas
Ih3hZZRw9Fg_000415	ventilation fan running
tHOs4zebKis_000270	airplane flyby
NboCft3LZAg_000140	playing saxophone
ATnl-fq5nAk_000030	playing acoustic guitar
zfWvVJbYaiU_000120	electric shaver
3KbSLoAAzy0_000069	playing guiro
p0c-sBtVkio_000187	playing castanets
IVJkeUVwUaY_000037	playing erhu
vpyjAR_k70Y_000066	car engine starting
99iIggWrfNM_000030	engine accelerating
fL6pMyvoGVg_000024	playing glockenspiel
MDa1ZVdDz2Y_000060	splashing water
Xq6M-3Kh_PU_000020	snake hissing
LbWDdMprV5k_000113	chicken clucking
xqhQTB860Lc_000036	people hiccuping
2vcA_vgImHQ_000020	lawn mowing
0OLYyjqNdn4_000352	train whistling
6P6z2S6XLIs_000264	airplane taking off
u0LKPT1u1E8_000039	dove cooing
SmzESvmFENY_000014	housefly buzzing
VIQqrHGMJRQ_000173	playing bassoon
HmqjTIXdF5Y_000004	penguins braying
Ef0c2AieZ24_000130	fireworks banging
QoffZQFqxkQ_000003	ice cream truck
q7xg-g9opJY_000117	wood thrush calling
Ykv1CiXNXLQ_000134	yodelling
Ah-IBgwj2lg_000030	owl hooting
1Tg9VvRZN5k_000030	subway
4_6e0icNw7Q_000182	disc scratching
VSkdiYt87rg_000030	baby crying
3SyOlb_hSjg_000030	playing electric guitar
AdWWI5m-9u4_000342	people marching
5kzHSZIhArw_000163	race car
Cs0UHi69c7Y_000030	playing zither
boPZxCznYbc_000030	crow cawing
AYhduTuI_zM_000102	playing flute
6HuIs2xW5kI_000104	fox barking
w2vMywh5Nto_000010	playing mandolin
XvkNRGfbdw8_000017	fireworks banging
zoo7FpCz7F0_000332	playing snare drum
HShbaC9ORSo_000410	engine cranking
4vzHgTC_16s_000010	alligators hissing
TP50fDa5Cls_000000	people giggling
7mtYFBOmeNs_000030	people whispering
Mw9Kg1um1pk_000050	playing djembe
LC4vDpnkDtM_000063	bull bellowing
H6RE7PjUrjI_000015	playing steel guitar
gA4PlwSKj8A_000039	dinosaurs bellowing
ScQ2F8LTkuY_000021	goat bleating
S7WDWv7kqhg_000197	people marching
Ya5GiXz1gbA_000019	wind chime
L6QtigLJD_4_000030	fireworks banging
o8uxxMXuhZ8_000030	people sniggering
Vp4lOXVBQzQ_000010	owl hooting
wuIdKobdk7g_000017	playing bass drum
GCDWVj9BjU8_000012	lion roaring
1FnA3w94zXI_000030	tapping guitar
HqF7uiKEjUA_000050	cap gun shooting
SDtPpEVplNY_000080	cow lowing
hHb0Eq1I7Fk_000000	skateboarding
0q9FUj_2qMc_000539	hedge trimmer running
eiyyoUt64Zc_000100	playing trumpet
cEEoKQ38fHY_000030	driving buses
ObdJilylBPw_000527	whale calling
Ke1oAMn5aXE_000060	ocean burbling
CUt0oGFuxL8_000053	woodpecker pecking tree
tpbdbCtj86c_000021	playing steel guitar
63xbVEyvD24_000030	child singing
2EYGJpU7juM_000130	playing tympani
puoRo9q7-ec_000009	disc scratching
AzkP4-XZjK0_000080	sewing machine running
-2Dm0VjW8oM_000001	pigeon cooing
7CBrxJI9Pxs_000163	car engine idling
IBnelTCAXKg_000270	crowd cheering
5DjZHCumLfs_000011	truck crash
b7fP0ON5qIU_000008	bull bellowing
CW_UrQzAqzU_000025	canary calling
tRYgfHwu-_U_000019	snake rattling
kO8TVRcXI98_000303	elk bugling
HkQHdrxx_v0_000010	baby crying
E2DcawleYIY_000030	playing electronic organ
DQIwRVrlYqI_000159	baltimore oriole calling
ipSnR0fR_uA_000044	pheasant crowing
IHg3nrJZQ1I_000100	engine starting
r3LmyYHbT4o_000005	playing bugle
qVT6GX1KHUY_000050	playing steel guitar
VhVKUAk6_R4_000006	sheep bleating
__p-iA312kg_000070	cat growling
U-L9YCIdLbg_000080	playing electric guitar
RZMgq7-EbUA_000024	pheasant crowing
I5f96kvSXzU_000004	air horn
uH56Q1Cn8vs_000028	snake hissing
2REf8hLLYMw_000030	cat meowing
20Nlj7Cz4E0_000030	male singing
jOMEUwArKss_000004	eagle screaming
7uK5ctEget0_000020	dog licking
fjiv34te9vc_000030	cat meowing
1UXkMZNI5o4_000373	wood thrush calling
kEnOc-apG_o_000078	beat boxing
AAyqgdDOUYA_000020	fire truck siren
3GtKbvwaycY_000025	playing bassoon
Nluf6HIYXXQ_000030	dog howling
D9ag3OB7E4k_000000	snake hissing
G93_g41lh7U_000032	dog growling
qCUcATSMC9M_000048	woodpecker pecking
NtM3gudMBCQ_000010	playing drum kit
SkFx45lxlvA_000060	lions roaring
ZKsNHjqLM1s_000046	cuckoo bird calling
rMwYBw7zMmY_000073	bird singing
S8RC6WZFqjk_000072	playing timbales
_-W48cCMzXU_000102	baltimore oriole calling
ENQli94rpHM_000000	people chanting
qV_QfHwVCVo_000016	dinosaurs bellowing
x9MU-enAr8A_000257	alarm clock ringing
jGOFaS079Rc_000081	yodelling
o3F3tUpmVaw_000030	police car siren
a59ivTlYoNk_000310	people screaming
HCmwbTIHIcw_000002	snake hissing
TDORLm3QYyA_000003	lighting firecrackers
LLkNFGrrgUo_000030	engine accelerating
77lgNFP6Tts_000119	wood thrush calling
V2CS8ToddTE_000030	singing choir
zOMh7kh4gPQ_000004	playing timbales
VV-DgnPPhSo_000220	female singing
phib36cTLiI_000062	elk bugling
Rp37k5_Eci0_000030	lions roaring
46zbt7TQHRs_000000	chicken crowing
ktvOqV10lW0_000030	playing drum kit
a_HzXa0YVIo_000170	kayak rowing
5GLnohP0IkU_000030	ocean burbling
qkmZcE3ECqk_000066	bird calling
kTizt7af0PE_000020	playing djembe
lm5ia1UoyGw_000030	goat bleating
4go6CQ_RhYQ_000250	hair dryer drying
ryWnOaICR80_000014	cat hissing
AcYJvz2tqkA_000050	playing harp
Okx87oCJg5g_000250	female singing
kXAfPnwvchE_000111	playing djembe
LzoAb4spthk_000042	slot machine
bzRimnuUqVc_000017	ice cream truck
dOQfuOw6okA_000381	airplane flying
n0Bbn5VNaMg_000043	playing bass drum
VfXAJJFrmnw_000028	people nose blowing
jhplcoP39vM_000118	dog baying
VkABXTeQSKk_000099	people marching
O8DtnVJN_dY_000030	fire truck siren
4K88ptVpPn8_000145	playing bugle
Y8JivjKVBIg_000134	playing steel guitar
Kp3-Drt61_M_000046	people giggling
88OXNd0yTMI_000040	train horn
rFwJ2L-geWw_000030	finger snapping
PyXQVNaAbHc_000030	people coughing
Yf7ypnJ2J-U_000039	playing glockenspiel
